"","uniprot_id","protein","gene","description","n_seq","sum_spectra","Gene","Ensembl","in_hpa_muscle","in_blood_blacklist","flag_source"
"126","P20742","PZP_HUMAN","PZP","Pregnancy zone protein",13,346617,NA,NA,FALSE,FALSE,"HPA"
"127","Q96IY4","CBPB2_HUMAN","CPB2","Carboxypeptidase B2",6,344972,NA,NA,FALSE,FALSE,"HPA"
"128","Q9H1E1","RNAS7_HUMAN","RNASE7","Ribonuclease 7",1,343906,NA,NA,FALSE,FALSE,"HPA"
"129","Q9H4B7","TBB1_HUMAN","TUBB1","Tubulin beta-1 chain",3,310547,NA,NA,FALSE,FALSE,"HPA"
"130","P01717","LV325_HUMAN","IGLV3-25","Immunoglobulin lambda variable 3-25",1,309145,NA,NA,FALSE,FALSE,"HPA"
"131","Q6IQ22","RAB12_HUMAN","RAB12","Ras-related protein Rab-12",8,302064,NA,NA,FALSE,FALSE,"HPA"
"132","Q14982","OPCM_HUMAN","OPCML","Opioid-binding protein/cell adhesion molecule",1,297776,NA,NA,FALSE,FALSE,"HPA"
"133","P07358","CO8B_HUMAN","C8B","Complement component C8 beta chain",15,291860,NA,NA,FALSE,TRUE,"HPA"
"134","P01714","LV319_HUMAN","IGLV3-19","Immunoglobulin lambda variable 3-19",1,286886,NA,NA,FALSE,FALSE,"HPA"
"135","Q86V81","THOC4_HUMAN","ALYREF","THO complex subunit 4",1,270235,NA,NA,FALSE,FALSE,"HPA"
"136","P05543","THBG_HUMAN","SERPINA7","Thyroxine-binding globulin",11,263737,NA,NA,FALSE,FALSE,"HPA"
"137","Q14520","HABP2_HUMAN","HABP2","Hyaluronan-binding protein 2",5,255467,NA,NA,FALSE,FALSE,"HPA"
"138","Q969L2","MAL2_HUMAN","MAL2","Protein MAL2",1,250543,NA,NA,FALSE,FALSE,"HPA"
"139","P07196","NFL_HUMAN","NEFL","Neurofilament light polypeptide",2,241312,NA,NA,FALSE,FALSE,"HPA"
"140","P16112","PGCA_HUMAN","ACAN","Aggrecan core protein",2,231630,NA,NA,FALSE,FALSE,"HPA"
"141","P0DN76","U2AF5_HUMAN","U2AF1L5","Splicing factor U2AF 35 kDa subunit-like protein",1,226583,NA,NA,FALSE,FALSE,"HPA"
"142","Q8IXS6","PALM2_HUMAN","PALM2","Paralemmin-2",3,223936,NA,NA,FALSE,FALSE,"HPA"
"143","P16401","H15_HUMAN","H1-5","Histone H1.5",2,217265,NA,NA,FALSE,FALSE,"HPA"
"144","P05160","F13B_HUMAN","F13B","Coagulation factor XIII B chain",8,215994,NA,NA,FALSE,TRUE,"HPA"
"145","A0A0C4DH29","HV103_HUMAN","IGHV1-3","Immunoglobulin heavy variable 1-3",1,212040,NA,NA,FALSE,FALSE,"HPA"
"146","P15169","CBPN_HUMAN","CPN1","Carboxypeptidase N catalytic chain",5,198296,NA,NA,FALSE,FALSE,"HPA"
"147","Q9UDX3","S14L4_HUMAN","SEC14L4","SEC14-like protein 4",3,194455,NA,NA,FALSE,FALSE,"HPA"
"148","P00748","FA12_HUMAN","F12","Coagulation factor XII",9,186702,NA,NA,FALSE,FALSE,"HPA"
"149","P24158","PRTN3_HUMAN","PRTN3","Myeloblastin",2,185611,NA,NA,FALSE,FALSE,"HPA"
"150","P14780","MMP9_HUMAN","MMP9","Matrix metalloproteinase-9",1,179349,NA,NA,FALSE,FALSE,"HPA"
"151","P01880","IGHD_HUMAN","IGHD","Immunoglobulin heavy constant delta",7,174876,NA,NA,FALSE,FALSE,"HPA"
"152","P79483","DRB3_HUMAN","HLA-DRB3","HLA class II histocompatibility antigen, DR beta 3 chain",1,166947,NA,NA,FALSE,FALSE,"HPA"
"153","P35858","ALS_HUMAN","IGFALS","Insulin-like growth factor-binding protein complex acid labile subunit",8,164849,NA,NA,FALSE,FALSE,"HPA"
"154","Q86UX2","ITIH5_HUMAN","ITIH5","Inter-alpha-trypsin inhibitor heavy chain H5",1,155069,NA,NA,FALSE,FALSE,"HPA"
"155","A0A0A0MS15","HV349_HUMAN","IGHV3-49","Immunoglobulin heavy variable 3-49",3,150675,NA,NA,FALSE,FALSE,"HPA"
"156","P13637","AT1A3_HUMAN","ATP1A3","Sodium/potassium-transporting ATPase subunit alpha-3",2,149906,NA,NA,FALSE,FALSE,"HPA"
"157","Q16777","H2A2C_HUMAN","HIST2H2AC","Histone H2A type 2-C",1,146990,NA,NA,FALSE,FALSE,"HPA"
