uniprot_id,gene,description,in_hpa_muscle,in_blood_blacklist,reason
Q13203,MYBPH,Myosin-binding protein H,TRUE,FALSE,Missingness
Q9H078,CLPB,Caseinolytic peptidase B protein homolog,TRUE,FALSE,Missingness
Q96AY3,FKBP10,Peptidyl-prolyl cis-trans isomerase FKBP10,TRUE,FALSE,Missingness
Q8IVD9,NUDCD3,NudC domain-containing protein 3,TRUE,FALSE,Missingness
Q92598,HSPH1,Heat shock protein 105 kDa,TRUE,FALSE,Missingness
Q8WZ82,OVCA2,Esterase OVCA2,TRUE,FALSE,Missingness
O15335,CHAD,Chondroadherin,TRUE,FALSE,Missingness
Q4G176,ACSF3,"Malonate--CoA ligase ACSF3, mitochondrial",TRUE,FALSE,Missingness
O14907,TAX1BP3,Tax1-binding protein 3,TRUE,FALSE,Missingness
P11717,IGF2R,Cation-independent mannose-6-phosphate receptor,TRUE,FALSE,Missingness
Q99797,MIPEP,Mitochondrial intermediate peptidase,TRUE,FALSE,Missingness
Q9H8M7,MINDY3,Ubiquitin carboxyl-terminal hydrolase MINDY-3,TRUE,FALSE,Missingness
O14745,SLC9A3R1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,TRUE,FALSE,Missingness
Q15717,ELAVL1,ELAV-like protein 1,TRUE,FALSE,Missingness
Q9P2J5,LARS1,"Leucine--tRNA ligase, cytoplasmic",TRUE,FALSE,Missingness
Q9BX97,PLVAP,Plasmalemma vesicle-associated protein,TRUE,FALSE,Missingness
O60343,TBC1D4,TBC1 domain family member 4,TRUE,FALSE,Missingness
L0R6Q1,SLC35A4,SLC35A4 upstream open reading frame protein,FALSE,FALSE,Contaminant
Q8N4Q1,CHCHD4,Mitochondrial intermembrane space import and assembly protein 40,TRUE,FALSE,Missingness
O96007,MOCS2,Molybdopterin synthase catalytic subunit,FALSE,FALSE,Contaminant
P14678,SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B',TRUE,FALSE,Missingness
Q7Z4H8,POGLUT3,Protein O-glucosyltransferase 3,TRUE,FALSE,Missingness
Q8IXM3,MRPL41,"39S ribosomal protein L41, mitochondrial",TRUE,FALSE,Missingness
Q68EM7,ARHGAP17,Rho GTPase-activating protein 17,TRUE,FALSE,Missingness
P0CW19,LIMS3,LIM and senescent cell antigen-like-containing domain protein 3,TRUE,FALSE,Missingness
A0A0A0MT36,IGKV6D-21,Immunoglobulin kappa variable 6D-21,FALSE,FALSE,Contaminant
Q9NRR5,UBQLN4,Ubiquilin-4,TRUE,FALSE,Missingness
Q5GLZ8,HERC4,Probable E3 ubiquitin-protein ligase HERC4,TRUE,FALSE,Missingness
Q8IUI8,CRLF3,Cytokine receptor-like factor 3,TRUE,FALSE,Missingness
Q9NR50,EIF2B3,Translation initiation factor eIF-2B subunit gamma,TRUE,FALSE,Missingness
O95870,ABHD16A,Phosphatidylserine lipase ABHD16A,TRUE,FALSE,Missingness
Q9H6R3,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",TRUE,FALSE,Missingness
Q5T013,HYI,Putative hydroxypyruvate isomerase,TRUE,FALSE,Missingness
Q16576,RBBP7,Histone-binding protein RBBP7,TRUE,FALSE,Missingness
Q5JVF3,PCID2,PCI domain-containing protein 2,TRUE,FALSE,Missingness
P01718,IGLV3-27,Immunoglobulin lambda variable 3-27,FALSE,FALSE,Contaminant
Q06432,CACNG1,Voltage-dependent calcium channel gamma-1 subunit,TRUE,FALSE,Missingness
Q92552,MRPS27,"28S ribosomal protein S27, mitochondrial",TRUE,FALSE,Missingness
Q9HC35,EML4,Echinoderm microtubule-associated protein-like 4,TRUE,FALSE,Missingness
O15372,EIF3H,Eukaryotic translation initiation factor 3 subunit H,TRUE,FALSE,Missingness
P22087,FBL,rRNA 2'-O-methyltransferase fibrillarin,TRUE,FALSE,Missingness
