contrast,method_a,method_b,spearman_rho
Baseline_SURVvCTL,cycloess_RF,rlr_bpca,0.969589836243187
Baseline_SURVvCTL,vsn_knn,rlr_bpca,0.9703582312690473
Baseline_SURVvCTL,rlr_knn,rlr_bpca,0.9729826982498508
Baseline_SURVvCTL,cycloess_knn,rlr_bpca,0.9613662844362935
Baseline_SURVvCTL,vsn_RF,cycloess_bpca,0.9690066549848833
Baseline_SURVvCTL,rlr_RF,cycloess_bpca,0.9684334607434577
Baseline_SURVvCTL,cycloess_RF,cycloess_bpca,0.9813923717349264
Baseline_SURVvCTL,vsn_knn,cycloess_bpca,0.9643472576559563
Baseline_SURVvCTL,rlr_knn,cycloess_bpca,0.9628555604986246
Baseline_SURVvCTL,cycloess_knn,cycloess_bpca,0.9743996440990349
Baseline_SURVvCTL,rlr_RF,vsn_RF,0.9971437131728753
Baseline_SURVvCTL,cycloess_RF,vsn_RF,0.9886786571396579
Baseline_SURVvCTL,vsn_knn,vsn_RF,0.9945316543039504
Baseline_SURVvCTL,rlr_knn,vsn_RF,0.9918251727299965
Baseline_SURVvCTL,cycloess_knn,vsn_RF,0.9823947050652334
Baseline_SURVvCTL,cycloess_RF,rlr_RF,0.9872756325867281
Baseline_SURVvCTL,vsn_knn,rlr_RF,0.9920100838606781
Baseline_SURVvCTL,rlr_knn,rlr_RF,0.9940622645106816
Baseline_SURVvCTL,cycloess_knn,rlr_RF,0.9808243223203774
Baseline_SURVvCTL,vsn_knn,cycloess_RF,0.9858172254856565
Baseline_SURVvCTL,rlr_knn,cycloess_RF,0.9834717897036882
Baseline_SURVvCTL,cycloess_knn,cycloess_RF,0.9942084381213513
Baseline_SURVvCTL,rlr_knn,vsn_knn,0.9973543484379398
Baseline_SURVvCTL,cycloess_knn,vsn_knn,0.9896918853974681
Baseline_SURVvCTL,cycloess_knn,rlr_knn,0.9876191254399584
Training_SURVvCTL,rlr_none,vsn_none,0.9948497256596727
Training_SURVvCTL,cycloess_none,vsn_none,0.9857948303568996
Training_SURVvCTL,vsn_bpca,vsn_none,0.9851163184829418
Training_SURVvCTL,rlr_bpca,vsn_none,0.9806206477034402
Training_SURVvCTL,cycloess_bpca,vsn_none,0.9712637207993245
Training_SURVvCTL,vsn_RF,vsn_none,0.9931637356285314
Training_SURVvCTL,rlr_RF,vsn_none,0.9877873915425099
Training_SURVvCTL,cycloess_RF,vsn_none,0.979536299779983
Training_SURVvCTL,vsn_knn,vsn_none,0.9930457072472453
Training_SURVvCTL,rlr_knn,vsn_none,0.987947789086309
Training_SURVvCTL,cycloess_knn,vsn_none,0.9790605546123373
Training_SURVvCTL,cycloess_none,rlr_none,0.984940486458513
Training_SURVvCTL,vsn_bpca,rlr_none,0.9818535903325676
Training_SURVvCTL,rlr_bpca,rlr_none,0.9861864424732695
Training_SURVvCTL,cycloess_bpca,rlr_none,0.9711405475911619
Training_SURVvCTL,vsn_RF,rlr_none,0.9897291097331045
Training_SURVvCTL,rlr_RF,rlr_none,0.9936095197455428
Training_SURVvCTL,cycloess_RF,rlr_none,0.9794615484718351
Training_SURVvCTL,vsn_knn,rlr_none,0.9895381458649211
Training_SURVvCTL,rlr_knn,rlr_none,0.9936854816011912
Training_SURVvCTL,cycloess_knn,rlr_none,0.9791810040886242
Training_SURVvCTL,vsn_bpca,cycloess_none,0.9712119698936837
Training_SURVvCTL,rlr_bpca,cycloess_none,0.9698818808276514
Training_SURVvCTL,cycloess_bpca,cycloess_none,0.9844859258721238
Training_SURVvCTL,vsn_RF,cycloess_none,0.9802393252408232
Training_SURVvCTL,rlr_RF,cycloess_none,0.9793677310405563
Training_SURVvCTL,cycloess_RF,cycloess_none,0.9942617022113677
Training_SURVvCTL,vsn_knn,cycloess_none,0.9812101843361206
Training_SURVvCTL,rlr_knn,cycloess_none,0.9796615914462714
Training_SURVvCTL,cycloess_knn,cycloess_none,0.993939393939394
Training_SURVvCTL,rlr_bpca,vsn_bpca,0.9950515844553595
Training_SURVvCTL,cycloess_bpca,vsn_bpca,0.9857642640325153
Training_SURVvCTL,vsn_RF,vsn_bpca,0.9908016548184331
Training_SURVvCTL,rlr_RF,vsn_bpca,0.9847325749253244
Training_SURVvCTL,cycloess_RF,vsn_bpca,0.9754703733631128
Training_SURVvCTL,vsn_knn,vsn_bpca,0.9869330476441233
Training_SURVvCTL,rlr_knn,vsn_bpca,0.9822067675658008
Training_SURVvCTL,cycloess_knn,vsn_bpca,0.9719976152214242
Training_SURVvCTL,cycloess_bpca,rlr_bpca,0.9839947462238484
Training_SURVvCTL,vsn_RF,rlr_bpca,0.9856562226681073
Training_SURVvCTL,rlr_RF,rlr_bpca,0.989345063538612
Training_SURVvCTL,cycloess_RF,rlr_bpca,0.9736757366938131
Training_SURVvCTL,vsn_knn,rlr_bpca,0.9820654361451325
Training_SURVvCTL,rlr_knn,rlr_bpca,0.9866061998190232
Training_SURVvCTL,cycloess_knn,rlr_bpca,0.9704705095497066
Training_SURVvCTL,vsn_RF,cycloess_bpca,0.9772289962442765
Training_SURVvCTL,rlr_RF,cycloess_bpca,0.9756204812531588
Training_SURVvCTL,cycloess_RF,cycloess_bpca,0.9903289360195383
Training_SURVvCTL,vsn_knn,cycloess_bpca,0.9749592196810812
Training_SURVvCTL,rlr_knn,cycloess_bpca,0.9735601294075279
Training_SURVvCTL,cycloess_knn,cycloess_bpca,0.986987824918515
Training_SURVvCTL,rlr_RF,vsn_RF,0.9941808981657179
Training_SURVvCTL,cycloess_RF,vsn_RF,0.9843733449545894
Training_SURVvCTL,vsn_knn,vsn_RF,0.9969191566115566
Training_SURVvCTL,rlr_knn,vsn_RF,0.9919761885306678
Training_SURVvCTL,cycloess_knn,vsn_RF,0.9820176195188678
Training_SURVvCTL,cycloess_RF,rlr_RF,0.98367274058874965
Training_SURVvCTL,vsn_knn,rlr_RF,0.9916414721468152
Training_SURVvCTL,rlr_knn,rlr_RF,0.996786601660266
Training_SURVvCTL,cycloess_knn,rlr_RF,0.9814659124955739
Training_SURVvCTL,vsn_knn,cycloess_RF,0.9837244914943907
Training_SURVvCTL,rlr_knn,cycloess_RF,0.9823002823602044
Training_SURVvCTL,cycloess_knn,cycloess_RF,0.997234504235403
