uniprot_id,gene,n_miss,pct_miss,mean_int,class
P10643,C7,0,0,25.86879774338312,Complete
P10909,CLU,0,0,29.19728822607381,Complete
P11021,HSPA5,0,0,18.720449505371565,Complete
P11142,HSPA8,11,37.93103448275862,18.320392409810395,MNAR
P11226,MBL2,0,0,22.73570426550696,Complete
P12111,COL6A3,0,0,19.56341421507587,Complete
P12259,F5,0,0,22.518634050324362,Complete
P12814,ACTN1,10,34.48275862068966,19.15995159700235,MNAR
P12955,PEPD,1,3.4482758620689653,19.69520346704952,MNAR
P13473,LAMP2,0,0,18.258553493926872,Complete
P13521,SCG2,2,6.896551724137931,20.411332930651202,MNAR
P13591,NCAM1,3,10.344827586206897,16.187258996285173,MNAR
P13639,EEF2,0,0,31.0205441888684,Complete
P13671,C6,0,0,26.101355189377244,Complete
P13796,LCP1,0,0,22.03756243676111,Complete
P14151,SELL,0,0,21.485663153901722,Complete
P14618,PKM,7,24.137931034482758,19.05522599533274,MNAR
P15144,ANPEP,7,24.137931034482758,17.910222389199337,MNAR
P15151,PVR,2,6.896551724137931,18.643029482984318,MNAR
P15169,CPN1,0,0,22.96291527075371,Complete
P16070,CD44,0,0,22.749540108004407,Complete
P16109,SELP,3,10.344827586206897,18.787365826566283,MNAR
P17936,IGFBP3,0,0,23.951272990479545,Complete
P18206,VCL,6,20.689655172413794,20.619542435783465,MNAR
P18428,LBP,0,0,24.383507156861892,Complete
P19320,VCAM1,2,6.896551724137931,17.07759896815725,MNAR
P19652,ORM2,0,0,29.854745564812024,Complete
P19823,ITIH2,0,0,29.06842917203962,Complete
P19827,ITIH1,0,0,28.167783601616982,Complete
P20742,PZP,3,10.344827586206897,24.11917496984332,MNAR
P20851,C4BPB,0,0,25.422121951515866,Complete
P21333,FLNA,6,20.689655172413794,21.122075209018345,MNAR
P22102,GART,0,0,24.303900163479366,Complete
P22105,TNXB,1,3.4482758620689653,19.039699836333437,MNAR
P22352,GPX3,0,0,24.738909902797143,Complete
P22792,CPN2,0,0,25.425096185097637,Complete
P22891,PROZ,0,0,23.004008591259204,Complete
P23142,FBLN1,0,0,24.86264842041698,Complete
P23443,RPS6KB1,7,24.137931034482758,20.412997953145336,MNAR
P23528,CFL1,9,31.03448275862069,19.71218572891166,MNAR
P25311,AZGP1,0,0,27.560546279715403,Complete
P25774,CTSS,11,37.93103448275862,15.96264137453431,MNAR
P26927,MST1,1,3.4482758620689653,23.03711030499999,MNAR
P27169,PON1,0,0,27.312764042932564,Complete
P27918,CFP,0,0,19.969875302223763,Complete
P29317,EPHA2,4,13.793103448275861,20.238473347978317,MNAR
P29622,SERPINA4,0,0,26.33507334223575,Complete
P30041,PRDX6,8,27.586206896551722,18.409155549153475,MNAR
P30043,BLVRB,0,0,18.248704594882945,Complete
P32119,PRDX2,0,0,21.388609623245014,Complete
P33151,CDH5,0,0,21.090769561942803,Complete
P33908,MAN1A1,4,13.793103448275861,19.96818681964907,MNAR
P35542,SAA4,2,6.896551724137931,23.09536993117434,MNAR
P35579,MYH9,3,10.344827586206897,21.0265767247066,MNAR
P35858,IGFALS,0,0,24.981075495635718,Complete
P36955,SERPINF1,0,0,26.258456423342242,Complete
P36980,CFHR2,0,0,24.255002164173323,Complete
P39086,GRIK1,3,10.344827586206897,19.756517867650125,MNAR
P41222,PTGDS,1,3.4482758620689653,20.99522953626652,MNAR
P42702,LIFR,2,6.896551724137931,27.87845712743855,MNAR
P43121,MCAM,2,6.896551724137931,17.418679906385414,MNAR
P43251,BTD,0,0,22.620986660751008,Complete
P43652,AFM,0,0,27.63243592060898,Complete
P48740,MASP1,0,0,23.68867458585442,Complete
P49427,CDC34,6,20.689655172413794,23.299644632592614,MNAR
P49747,COMP,0,0,20.090224843286407,Complete
P49908,SELENOP,0,0,22.864064766728426,Complete
P51812,RPS6KA3,0,0,24.915493841100677,Complete
P51884,LUM,0,0,25.431317828450393,Complete
P55056,APOC4,0,0,23.800735622468356,Complete
P55058,PLTP,0,0,25.17175094285331,Complete
P60709,ACTB,0,0,26.015821647034535,Complete
P61626,LYZ,0,0,22.447363664622973,Complete
P61769,B2M,0,0,23.412854999639038,Complete
P62258,YWHAE,3,10.344827586206897,21.33625119923476,MNAR
P62937,PPIA,2,6.896551724137931,21.419383111037952,MNAR
P62979,RPS27A,0,0,20.67113350183769,Complete
P63104,YWHAZ,9,31.03448275862069,20.957060412133856,MNAR
P68133,ACTA1,0,0,25.420756524556744,Complete
P68871,HBB,0,0,30.229365496035978,Complete
P69891,HBG1,8,27.586206896551722,20.367581051769072,MNAR
P69905,HBA1,0,0,30.40666294943244,Complete
P78312,FAM193A,2,6.896551724137931,23.353007925594696,MNAR
P78357,CNTNAP1,2,6.896551724137931,23.98162024289788,MNAR
P80108,GPLD1,0,0,24.079766416319345,Complete
P98160,HSPG2,3,10.344827586206897,18.534420508105836,MNAR
Q02388,COL7A1,0,0,22.12845632144772,Complete
Q02985,CFHR3,2,6.896551724137931,21.791259303040427,MNAR
Q03591,CFHR1,0,0,24.502860375056464,Complete
Q04756,HGFAC,0,0,22.566821751984396,Complete
Q05707,COL14A1,0,0,23.006308818053743,Complete
Q06033,ITIH3,0,0,25.57681832766208,Complete
Q06830,PRDX1,6,20.689655172413794,20.663490744069396,MNAR
Q08380,LGALS3BP,0,0,25.551113490748932,Complete
Q08830,FGL1,5,17.24137931034483,18.743385069902494,MNAR
Q12805,EFEMP1,0,0,21.956311092146084,Complete
Q12879,GRIN2A,7,24.137931034482758,17.917137509939202,MNAR
Q12913,PTPRJ,1,3.4482758620689653,16.292324355787205,MNAR
Q13075,NAIP,1,3.4482758620689653,22.526911318847713,MNAR
Q13094,LCP2,4,13.793103448275861,26.19112416754828,MNAR
Q13103,SPP2,1,3.4482758620689653,20.14265442607105,MNAR
Q13228,SELENBP1,7,24.137931034482758,18.026622387318557,MNAR
Q13740,ALCAM,8,27.586206896551722,18.849602232026527,MNAR
Q13822,ENPP2,10,34.48275862068966,17.39555113634793,MNAR
Q14126,DSG2,7,24.137931034482758,16.755594215955224,MNAR
Q14161,GIT2,0,0,21.00319737490432,Complete
Q14185,DOCK1,2,6.896551724137931,26.150441744584395,MNAR
Q14520,HABP2,0,0,23.56461795153911,Complete
Q14624,ITIH4,0,0,28.24555700415354,Complete
Q15063,POSTN,11,37.93103448275862,16.636776790122514,MNAR
Q15113,PCOLCE,0,0,20.53829328898309,Complete
Q15166,PON3,0,0,20.139150029767347,Complete
Q15468,STIL,10,34.48275862068966,24.34802682966723,MNAR
Q15582,TGFBI,0,0,20.933563970189052,Complete
Q15848,ADIPOQ,8,27.586206896551722,20.331432836677667,MNAR
Q16610,ECM1,0,0,24.65662741028617,Complete
Q16650,TBR1,1,3.4482758620689653,25.191923598556944,MNAR
Q1KMD3,HNRNPUL2,5,17.24137931034483,20.71208323052552,MNAR
Q53S58,TMEM177,0,0,22.598490432361725,Complete
Q5T890,ERCC6L2,2,6.896551724137931,27.172369550964852,MNAR
Q66K66,TMEM198,2,6.896551724137931,28.211629033024426,MNAR
Q6DHV5,CC2D2B,1,3.4482758620689653,26.26724470728629,MNAR
Q6EMK4,VASN,0,0,19.408285315014677,Complete
Q6L9W6,B4GALNT3,0,0,20.092339387166625,Complete
Q6U841,SLC4A10,1,3.4482758620689653,26.067679916612438,MNAR
Q6UX71,PLXDC2,1,3.4482758620689653,20.32695116801413,MNAR
Q6UXB8,PI16,0,0,21.607578923634918,Complete
Q6Y7W6,GIGYF2,8,27.586206896551722,17.102923808428304,MNAR
Q6ZUJ8,PIK3AP1,1,3.4482758620689653,18.906654038041143,MNAR
Q76LX8,ADAMTS13,0,0,17.60175710674234,Complete
Q7Z2W7,TRPM8,3,10.344827586206897,22.52827863706596,MNAR
Q7Z695,ADCK2,3,10.344827586206897,20.509957124037978,MNAR
Q7Z6Z7,HUWE1,1,3.4482758620689653,23.33097989326235,MNAR
Q7Z7G0,ABI3BP,0,0,17.86983364302849,Complete
Q86SQ4,ADGRG6,3,10.344827586206897,21.47016042868938,MNAR
Q86UD1,OAF,2,6.896551724137931,19.599963716333008,MNAR
Q86UK0,ABCA12,0,0,20.43893755432705,Complete
Q86UX7,FERMT3,9,31.03448275862069,19.791237923254087,MNAR
Q86XH1,IQCA1,0,0,21.22795240894362,Complete
Q86XP0,PLA2G4D,0,0,21.86290775401672,Complete
Q86XX4,FRAS1,1,3.4482758620689653,24.41587238372585,MNAR
Q8IXV7,KLHDC8B,0,0,29.034306253004736,Complete
Q8IYS0,GRAMD1C,0,0,20.34166316016058,Complete
Q8N3E9,PLCD3,5,17.24137931034483,24.931493323509972,MNAR
Q8NB25,FAM184A,3,10.344827586206897,24.68728336444453,MNAR
