Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,CR006_T1,CR008_T1,CR009_T1,CR010_T1,CR015_T1,CR017_T1,CR018_T1,CR022_T1,CR072_T1,CR149_T1,CR163_T1,CR383_T1,CR006_T2,CR008_T2,CR009_T2,CR010_T2,CR015_T2,CR017_T2,CR018_T2,CR022_T2,CR072_T2,CR149_T2,CR163_T2,CR386_T2,PPS02,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS44
P05109,S10A8_HUMAN,S100A8,Protein S100-A8,5,5,12371500,10696100,2911170,501324000,2592700,5461600,6489860,3734650,5775010,8145270,4907630,14816500,,23392700,3108390,1742010,2939300,5176720,2201360,8540880,2971320,6313010,3933510,6948310,3201970,2497540,25641200,1794310,3083320,3487930,,2326540
P05154,IPSP_HUMAN,SERPINA5,Plasma serine protease inhibitor,10,10,13214200,15081400,12329000,14112200,9357080,15913100,15162300,18459600,9294540,17879400,16277500,14172100,7530960,11398800,12745400,13539400,10398500,15550700,17532900,21701200,13305100,16656500,15405000,14415500,20607500,18207400,11696500,14397300,11567700,10782100,8616700,11693400
P05155,IC1_HUMAN,SERPING1,Plasma protease C1 inhibitor,19,19,1096410000,816378000,752003000,1288400000,1085200000,712124000,916661000,629067000,911712000,803039000,814261000,654933000,909679000,691657000,998146000,814696000,1010320000,795186000,1104840000,536305000,1022330000,812689000,859544000,706942000,709941000,828825000,884545000,858065000,805646000,755598000,1258430000,615929000
P05156,CFAI_HUMAN,CFI,Complement factor I,12,12,91267800,48494000,105625000,92109900,91702900,92722100,93850500,85129300,115534000,101208000,87565900,102811000,92622300,94321000,81266200,98108700,92731800,94542000,85979600,96871100,108712000,115720000,81827800,72594600,117580000,97724700,85456800,112942000,94089400,109177000,90003200,92389200
P05160,F13B_HUMAN,F13B,Coagulation factor XIII B chain,22,22,35481700,41096500,51690900,56902400,42576000,69323100,44576400,34537400,21578200,47714700,46299800,53112600,15911600,35876100,41608500,53642200,57971000,50608300,64811700,45748300,47870000,35989700,33059100,40834700,42749900,57392400,67756700,70429400,46348200,49057700,28327000,30035600
P05452,TETN_HUMAN,CLEC3B,Tetranectin,7,7,35014900,25271100,38313000,29154000,37700100,41483400,23392500,15693100,22472000,22654400,32469400,27610400,14042100,31427600,32734000,27446600,34264200,35050500,24810800,19435400,29826800,23383200,27050400,28869500,26814800,24305800,28283300,35481600,27430900,32596800,16848200,22170200
P05543,THBG_HUMAN,SERPINA7,Thyroxine-binding globulin,12,12,41353900,35386700,66175700,38428900,57443100,55674300,43718100,59970300,53715000,53404900,51414100,36214700,40812000,56456200,53241700,64207900,59516400,60769800,41291100,65525000,54228700,65322300,42345300,51035200,72442700,60285700,33184400,64774800,45605900,66622600,52484200,43517500
P05546,HEP2_HUMAN,SERPIND1,Heparin cofactor 2,18,18,214222000,220864000,172640000,239900000,193736000,220924000,140306000,196667000,137143000,149905000,222235000,176730000,125620000,215960000,246773000,163633000,225231000,231751000,168906000,162470000,262134000,134299000,217837000,142143000,178628000,148830000,173142000,155618000,170962000,138597000,178582000,174539000
P05556,ITB1_HUMAN,ITGB1,Integrin beta-1,2,2,,242838,,344100,307476,,,179439,137666,240536,,,,,230866,421791,280462,,,228257,,166394,,,,,345253,,415517,,,
P05787,K2C8_HUMAN,KRT8,"Keratin, type II cytoskeletal 8",2,2,,3605590,1069850,69064600,,3386640,,,,4946650,,,59547100,37858500,,,,,,3505400,,,,,3434010,4677160,1655320,,2732990,,,
P06276,CHLE_HUMAN,BCHE,Cholinesterase,10,10,6173510,3044780,3460980,6967080,4614130,3762030,5985050,4580520,5632540,5109140,6183100,6711150,4107220,2528530,4900850,4078340,4540600,7293060,6352070,4570580,6949550,6072910,5154380,4797320,5335460,7295060,4316620,3560710,6263500,5619740,5130400,7212010
P06312,KV401_HUMAN,IGKV4-1,Immunoglobulin kappa variable 4-1,1,1,1464290,14378100,937302,6314670,1381140,6189750,3371750,3340740,553912,1294390,5066980,981164,,4083110,13952900,979953,15829000,6087850,1401340,1001490,8653460,2008490,17133200,1346140,2409210,,782548,,727706,,6575240,1913830
P06331,HV434_HUMAN,IGHV4-34,Immunoglobulin heavy variable 4-34,1,1,934479,15181100,298895,7094490,765162,5993660,1867660,2358890,361196,805485,5344290,1233520,,7847440,6555580,802214,22231200,5255020,404339,621778,5353550,1970290,16284200,1123770,2710680,,652354,520539,822771,,8918950,1778810
P06396,GELS_HUMAN,GSN,Gelsolin,19,19,278027000,280646000,297859000,275506000,393139000,314009000,302956000,268453000,248014000,251173000,329294000,330097000,299981000,376030000,294791000,317218000,420889000,329222000,328077000,290538000,321610000,255988000,311038000,324198000,185672000,250044000,261934000,342847000,303894000,278373000,319715000,222128000
P06576,ATPB_HUMAN,ATP5F1B,"ATP synthase subunit beta, mitochondrial",1,1,,,,37337,,,,,,,,,,,,,,,,,,,,,,,,,44626,,,
P06681,CO2_HUMAN,C2,Complement C2,19,19,58851200,47228400,54960400,59311700,62904500,78742200,52506000,55119600,56170900,55344200,63452400,49447200,38561900,49710100,49713600,63442100,60300400,70009000,49197200,56940000,55882800,61041300,58206400,57257100,63752300,68954000,48288100,72835200,57656700,67608900,52857700,47209200
P06702,S10A9_HUMAN,S100A9,Protein S100-A9,5,5,4722120,6301910,3093480,286783000,1523580,2728310,3137910,1970510,2825990,4146620,2264930,6329090,,6309170,2119970,1079580,1415440,2570980,1487050,4497000,1654250,3110930,2158810,5087680,1237490,1188900,17091500,1268630,1823640,2186740,,997338
P06727,APOA4_HUMAN,APOA4,Apolipoprotein A-IV,28,28,745478000,650420000,694602000,701579000,506445000,359231000,464618000,899061000,361365000,531904000,559316000,394996000,643222000,347581000,811439000,486880000,295934000,315299000,659302000,897309000,745127000,570800000,394744000,391051000,745359000,513172000,909572000,876685000,381349000,403075000,377901000,275222000
P06733,ENOA_HUMAN,ENO1,Alpha-enolase,3,3,93628,241513,,1452810,50609,141489,117105,141122,,203907,155972,,,,99672,416573,153295,,91026,251966,,160122,136250,173916,175785,,303295,96444,381006,147841,,
P06744,G6PI_HUMAN,GPI,Glucose-6-phosphate isomerase,2,2,,,,133708,,,,,,,,,,,,41883,,,,,,,,,,,51606,,,,,
P06753,TPM3_HUMAN,TPM3,Tropomyosin alpha-3 chain,1,1,,408806,,868945,,,,,,598279,,,,,,1003870,,,,563033,,,,,,,1291710,,931400,,,
P07195,LDHB_HUMAN,LDHB,L-lactate dehydrogenase B chain,5,5,784782,873819,578426,1193660,625072,643763,653535,572342,555262,657898,458388,849016,,417053,700529,1120470,904739,649559,650749,833304,575907,799400,601491,848730,729027,620003,1284760,610649,1060590,755091,355165,278103
P07225,PROS_HUMAN,PROS1,Vitamin K-dependent protein S,12,12,81898500,66883400,87190400,133406000,74832600,77074000,71555900,85264200,78265000,81431400,81374700,92231300,97120600,111997000,89358400,73888600,79136900,78106900,62830800,69093100,68684200,85646900,87747500,78333600,69879400,100524000,68556400,77380000,91395000,89093600,92018800,84920100
P07333,CSF1R_HUMAN,CSF1R,Macrophage colony-stimulating factor 1 receptor,1,1,40393,29835,17146,13164,39966,18961,25801,38424,38075,32022,25162,,,,,,,33514,19474,43223,45538,38842,,50029,35588,27926,13513,39503,40251,55939,,
P07339,CATD_HUMAN,CTSD,Cathepsin D,6,6,324721,249324,664823,2881960,,253466,,310969,221232,390749,268943,,,,332190,,325307,268778,,320894,360790,323867,282867,,558455,412446,,389978,237734,328406,,278575
P07355,ANXA2_HUMAN,ANXA2,Annexin A2,4,4,,,,2797350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07357,CO8A_HUMAN,C8A,Complement component C8 alpha chain,13,13,155693000,87332500,139371000,98585500,134236000,111973000,124160000,85312800,186007000,140203000,103233000,131318000,99455300,97708700,114923000,141894000,130808000,116887000,121275000,100711000,147140000,133394000,122288000,108681000,109283000,125601000,90564200,122976000,135342000,122251000,100227000,104529000
P07358,CO8B_HUMAN,C8B,Complement component C8 beta chain,13,13,58624800,46588900,61983200,44426100,55994500,53004300,57428200,43072300,58755300,70278000,52479500,53574200,38559800,46417400,52432800,59249900,51101100,55831700,64522300,40933700,70158900,72094300,57334900,54063800,42297200,50992800,37433400,68175900,71633300,50142500,57137500,51120800
P07359,GP1BA_HUMAN,GP1BA,Platelet glycoprotein Ib alpha chain,3,3,700348,565922,203463,1185580,899366,311301,438775,,526437,772448,447818,285034,,,472189,1169300,668447,505502,634517,404199,244464,591574,210762,883350,713431,1343630,1042250,486982,790813,702666,,261484
P07360,CO8G_HUMAN,C8G,Complement component C8 gamma chain,9,9,69564700,68336200,65753300,51575800,41301200,70936700,60602800,50160100,74355600,69721300,54440800,77792300,61891700,62791700,68152300,63860700,78290500,67744400,71908600,51489800,86342000,65801100,61485400,53275500,48380100,58780700,56851600,65879100,84039700,56470600,73687600,54777600
P07437,TBB5_HUMAN,TUBB,Tubulin beta chain,9,9,,3428110,,6542840,,1478840,982259,1259650,,3095610,1971550,1652620,,,1813710,9046020,3149810,,,4107690,1040860,1891410,1935450,2068960,2999890,662726,5663680,1116790,6668770,1746240,1877780,
P07737,PROF1_HUMAN,PFN1,Profilin-1,5,5,796120,3844630,,5796070,394939,1920630,1304770,1902740,,3288660,2423940,2352640,,,1875300,9251620,3340590,334582,1146180,4460270,863881,2331360,2285910,2613860,3859090,701469,8907790,1565830,7890570,1729610,1691900,532052
P07900,HS90A_HUMAN,HSP90AA1,Heat shock protein HSP 90-alpha,2,2,,,,4950510,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07951,TPM2_HUMAN,TPM2,Tropomyosin beta chain,1,1,730906,3137490,,5555010,,2842690,1242230,2709490,,4685930,3543840,2265460,,,2546460,13680400,3680660,736464,1085230,7325770,1294950,3283830,3063340,3661300,4524090,1647140,14704700,2601500,10243700,3162030,2839330,562108
P07988,PSPB_HUMAN,SFTPB,Pulmonary surfactant-associated protein B,2,2,,1024070,,1866620,,,,,,,1633370,,,,822927,,,,,,,899903,2571580,,,,1132490,,,1377200,,
P07996,TSP1_HUMAN,THBS1,Thrombospondin-1,26,26,7837860,3583760,2690230,3638220,1021010,2082370,1055460,3084590,4628840,3342750,3641700,11290500,,1234680,1820780,8995430,6478610,4405860,701695,4988670,3274910,1603840,3144330,5668840,4103500,1478370,9259870,1817320,10305200,1293690,2366100,7809210
P07998,RNAS1_HUMAN,RNASE1,Ribonuclease pancreatic,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124410,,,
P08185,CBG_HUMAN,SERPINA6,Corticosteroid-binding globulin,6,6,52370900,40762400,55603600,45724800,59585000,91873800,52911500,57947500,58842800,55515600,53306000,47461200,44415500,67978800,54739800,76623100,70187900,93296400,53963200,52658100,41938100,58103900,49099000,51094400,47855600,35699100,40250300,57318200,68608800,52950500,61322100,44468100
P08238,HS90B_HUMAN,HSP90AB1,Heat shock protein HSP 90-beta,2,2,,,,360526,,,,,,,,,,,,,,,,,,,,,,,88176,,29710,,,
P08294,SODE_HUMAN,SOD3,Extracellular superoxide dismutase [Cu-Zn],4,4,582908,915764,749308,970858,824310,,1378670,7592020,,,667706,,,,1296270,11940400,1223930,1162890,556177,7963300,,,1141400,726070,1137560,1284340,895744,914601,714149,1079580,,
P08514,ITA2B_HUMAN,ITGA2B,Integrin alpha-IIb,10,10,206504,1363950,,1927980,,734307,280525,588069,,2023940,1280650,1243170,,,899510,5018520,1811300,175422,,2413590,514630,940509,1094270,1194800,1956230,399477,2841670,739176,5342280,931566,1401750,314629
P08519,APOA_HUMAN,LPA,Apolipoprotein(a),21,21,2580650,14879800,13456600,111545000,109954000,58930400,12102100,,23546500,126892000,56607500,70300800,,29085600,27563000,2710040,130298000,64446600,9873920,,26616900,176264000,63143600,9742190,125393000,33447800,78920600,176273000,117653000,11532100,7953770,2595610
P08567,PLEK_HUMAN,PLEK,Pleckstrin,5,5,,652646,,796701,,566593,,,,670907,742429,,,,409739,1699770,641579,,,892085,,341635,492020,580501,706544,,1400310,285236,1699860,505617,,
P08571,CD14_HUMAN,CD14,Monocyte differentiation antigen CD14,5,5,17684000,10631800,17837900,9939210,10231500,12517900,15012300,14138300,16136700,13708700,11384300,12346000,,,19246400,17900300,10981900,16385100,15447900,11163200,17634600,18445300,13301800,12390800,11119700,15348800,10416700,17575900,16960000,13386800,15461900,11864400
P08603,CFAH_HUMAN,CFH,Complement factor H,47,47,728888000,519089000,743159000,713286000,831133000,727116000,642923000,751758000,753711000,670749000,694706000,722017000,771633000,739188000,634381000,694259000,800965000,716437000,611749000,891108000,873846000,696479000,680884000,611969000,764214000,732436000,665105000,861279000,720798000,917963000,709793000,731537000
P08637,FCG3A_HUMAN,FCGR3A,Low affinity immunoglobulin gamma Fc region receptor III-A,1,1,222817,,215206,243937,,,211639,176294,,,,,,380886,,,,,,500434,,345361,,370652,268914,359258,347515,218487,204518,336370,327745,325894
P08697,A2AP_HUMAN,SERPINF2,Alpha-2-antiplasmin,15,15,190847000,117646000,141490000,165314000,161827000,142777000,125482000,150902000,142267000,150221000,130369000,184606000,165286000,162903000,137573000,149196000,160494000,154753000,130432000,149822000,161200000,158339000,132351000,116890000,165113000,149865000,151491000,137985000,152783000,142167000,179830000,148850000
P08709,FA7_HUMAN,F7,Coagulation factor VII,2,2,2192130,2202180,3115460,2613340,2507390,2308860,1735890,2894400,2399830,3494250,3662160,2036950,,,2647430,2049200,2901400,2419250,2395830,3187450,2934450,3771990,2559010,2997480,2851040,2609550,2615180,3185430,1876090,2305030,,1992590
P08727,K1C19_HUMAN,KRT19,"Keratin, type I cytoskeletal 19",4,4,,5158160,806439,75245800,,1315070,,,230742,1002480,2708880,,,,,,,580501,,938498,,,,,816620,684972,2807990,,1252530,,,
P08779,K1C16_HUMAN,KRT16,"Keratin, type I cytoskeletal 16",6,6,,1003430,,10386700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08865,RSSA_HUMAN,RPSA,Small ribosomal subunit protein uS2,2,2,,,,255688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09172,DOPO_HUMAN,DBH,Dopamine beta-hydroxylase,9,9,3978500,3053360,1421080,1640710,1127260,3019980,2263070,647470,857648,882708,2906780,4843460,1346100,863439,946479,406907,1367150,3668630,2258450,687135,,844821,2936530,3143940,2594890,1652800,1470310,4080780,3826900,2541310,1578040,883375
P09211,GSTP1_HUMAN,GSTP1,Glutathione S-transferase P,3,3,,,,1789400,,,,,,,,,,,,,,,,,,,,,,,,,378206,,,
P09493,TPM1_HUMAN,TPM1,Tropomyosin alpha-1 chain,4,4,,8285070,,14185900,,5004550,2380460,,,9556810,,,,,,33756700,7132080,,,14754400,,3452370,5309010,6262500,9787740,,26711000,4989410,29376300,3972010,,
P09871,C1S_HUMAN,C1S,Complement C1s subcomponent,21,21,88204800,88810200,110492000,121385000,97619700,128338000,100774000,99883400,144006000,104057000,103374000,106432000,110604000,118348000,110678000,113456000,90414800,140645000,109221000,114927000,127996000,101708000,100852000,104726000,115117000,90904800,94936400,111080000,112188000,128848000,130144000,102122000
P0C0L4,CO4A_HUMAN,C4A,Complement C4-A,4,4,28638900,93575200,150085000,151430000,204546000,162181000,59069000,78410700,79097800,113892000,91666100,57182400,37409700,99981900,169297000,85190000,192043000,113780000,76880200,100292000,109391000,108642000,71934600,39055700,99327900,142038000,68766800,86584700,79326300,65510100,55943100,101031000
P0C0L5,CO4B_HUMAN,C4B,Complement C4-B,79,79,761789000,575621000,1008320000,647944000,1166620000,1052790000,493271000,899294000,896486000,818526000,674009000,371998000,610327000,556268000,978337000,911517000,935229000,1098870000,570270000,923919000,1033290000,863628000,768008000,715203000,803871000,772501000,546336000,1179650000,757718000,983395000,771038000,659078000
P0C7V6,SP202_HUMAN,SUPT20HL2,Putative transcription factor SPT20 homolog-like 2,1,1,250378,92211,329682,200273,,506313,477505,333375,452595,255668,227367,862254,,,,389353,110996,459943,235978,676337,266080,216628,179061,113777,378123,258631,194131,,,403122,561782,344732
P0DJI8,SAA1_HUMAN,SAA1,Serum amyloid A-1 protein,5,5,1496860,7680990,3598570,20931700,10454600,4504510,3959300,5093950,7277380,4278930,7316520,,,5377610,4089700,3898750,7058110,6659000,3733630,7915430,7697920,8944830,9367420,4251450,4446100,2408290,9421140,4740530,2797320,,3764860,3815080
P0DMV8,HS71A_HUMAN,HSPA1A,Heat shock 70 kDa protein 1A,3,3,,,,1333980,,,,,,,,,,,,,,,,,,,,,,,,,271048,,,
P0DOY2,IGLC2_HUMAN,IGLC2,Immunoglobulin lambda constant 2,3,3,12068800,253728000,4962040,103780000,9044050,58764000,34842800,32356700,6260040,9411890,74812000,25914900,4573040,79867000,109101000,16174400,307478000,59185400,8107140,10784200,76499200,27897000,280596000,19099300,45025400,7396890,6415970,7932570,9704130,2199310,92633200,38896600
P10124,SRGN_HUMAN,SRGN,Serglycin,1,1,717383,,,,,,,,1351120,,,566184,,,,582299,,,,623259,,,,,,,589821,278663,576606,,470190,712100
P10275,ANDR_HUMAN,AR,Androgen receptor,1,1,371545000,244450000,391722000,658048000,411609000,427192000,251562000,,261779000,479855000,393056000,84818300,,69233100,266072000,,249572000,396661000,325016000,406542000,442860000,552758000,450807000,347135000,,531937000,259726000,123430000,94227600,458477000,80151500,107354000
P10599,THIO_HUMAN,TXN,Thioredoxin,1,1,751243,1212730,,8433550,,,,997782,351231,669060,1163730,,,,543785,1139550,877537,,512631,1484050,,501835,,,881795,,1422410,,1118920,,,
P10643,CO7_HUMAN,C7,Complement component C7,25,25,66503600,67458000,75168400,108173000,57101700,46937000,60100700,95528600,60052300,58473500,46433600,53482700,48524300,59698600,70378500,79010800,63869800,45256200,55868500,100144000,58256000,71318300,51339700,57344200,72018700,75502400,85936100,72028500,38745400,90795800,58874800,41378700
P10909,CLUS_HUMAN,CLU,Clusterin,14,14,601825000,565137000,593247000,700114000,626129000,720255000,700282000,612129000,608550000,601494000,721101000,742039000,827427000,812298000,646947000,821911000,642672000,804095000,660332000,628941000,633430000,687103000,774316000,544138000,761565000,653746000,642648000,614102000,620257000,671087000,720822000,633591000
P11021,BIP_HUMAN,HSPA5,Endoplasmic reticulum chaperone BiP,8,8,322167,415239,322525,1048750,516688,400616,357861,300850,436412,408993,380898,257551,,,433450,694306,727979,330461,380795,471781,397696,369563,375864,426221,511271,437559,617638,428423,578899,490147,263345,209905
P11142,HSP7C_HUMAN,HSPA8,Heat shock cognate 71 kDa protein,5,5,165077,440928,,1482340,,,,214355,,409848,157517,,,,129506,852701,261680,,,597350,,274874,85858,295001,364171,,866960,216150,785382,256467,,
P11169,GTR3_HUMAN,SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",1,1,,,,,,,,,,,,,,,,388471,,,,,,,,,,,579548,,347541,319412,,
P11226,MBL2_HUMAN,MBL2,Mannose-binding protein C,5,5,9689730,19033000,11634700,7964940,6334830,7656260,5746890,18396900,11636400,7438340,25723900,3283990,,35706600,14858800,1087500,3382320,11305700,5002810,16878000,10396600,10355800,25038800,3241620,1334840,5694650,6726300,18530100,5105650,777459,7784270,5191660
P11597,CETP_HUMAN,CETP,Cholesteryl ester transfer protein,2,2,,663512,,,2810560,1136160,1303780,705465,669534,,780770,,,,,,1147330,1830380,1207570,465921,957258,,,,1046880,898913,183324,737806,972441,940856,,1746620
P12111,CO6A3_HUMAN,COL6A3,Collagen alpha-3(VI) chain,4,4,657371,427946,1216610,906202,658078,789032,565119,829025,841808,730515,817776,484455,,,1063720,724577,682711,1161430,495346,991081,955449,786685,845615,856282,710487,715539,604626,1014400,694747,1225900,,601248
P12259,FA5_HUMAN,F5,Coagulation factor V,22,22,5608460,9192140,7464330,7111140,5965200,4399420,4303540,6115590,5959350,6916830,7650250,4680020,3998150,6377180,8047170,8181390,5645230,4921730,4949900,6289990,5075360,5533680,7080560,7266950,5708120,5917780,5995220,7033250,5485600,6224340,6707430,5904570
P12273,PIP_HUMAN,PIP,Prolactin-inducible protein,5,5,,3044020,,37492300,,,,,,,,,,9698580,,,,,,,,,,,1120340,,,,,,,
P12814,ACTN1_HUMAN,ACTN1,Alpha-actinin-1,5,5,,704862,,585749,,571786,,394990,,907658,363371,,,,590803,1421290,957743,,230385,848473,,594330,263013,554316,738202,,1753880,238339,1329280,308284,,
P12830,CADH1_HUMAN,CDH1,Cadherin-1,1,1,71575,,111700,,,,77606,104913,,53378,73371,,,,,,,63793,,93132,,69701,,53937,,73655,110543,58460,,53081,,
P12955,PEPD_HUMAN,PEPD,Xaa-Pro dipeptidase,3,3,654895,873129,940762,1338270,656247,962932,839956,607207,880427,704805,761095,,,,701718,1131880,501816,941500,669885,876563,866259,765773,856513,782409,577228,1108090,1277310,1274210,828926,1371840,,705415
P13224,GP1BB_HUMAN,GP1BB,Platelet glycoprotein Ib beta chain,1,1,,,,,,,,,,297919,,,,,,1140990,,,,768023,,,,181910,,,412303,,1045350,,,
P13473,LAMP2_HUMAN,LAMP2,Lysosome-associated membrane glycoprotein 2,2,2,403248,188523,272318,478215,375409,367318,278214,407719,426450,254671,281804,227840,,326714,310957,381087,444925,422307,297974,291307,317536,338382,316837,263977,283916,266649,202124,271654,311036,264987,246165,262874
P13521,SCG2_HUMAN,SCG2,Secretogranin-2,1,1,3914870,5614580,1172900,2073480,2988820,1909690,1244890,1589810,1063010,1407780,1699060,650622,,,3416790,725485,2917860,1623950,2760390,1087830,2230520,1080880,1422930,787544,425252,438743,2114920,,,634642,,365788
P13591,NCAM1_HUMAN,NCAM1,Neural cell adhesion molecule 1,3,3,62547,60839,52011,,31647,63010,115700,54461,43958,71608,69486,48076,,,41146,125386,85062,,119887,83448,,87819,67044,96279,61571,73432,88669,145369,147926,72118,,70225
P13639,EF2_HUMAN,EEF2,Elongation factor 2,2,2,1949430000,2853650000,2443690000,3071930000,2260080000,3476810000,1843250000,1589350000,291602000,3769620000,2410800000,2507750000,4400560000,2958230000,2575040000,2119250000,4392520000,2057990000,3407730000,3320480000,3387620000,2583280000,1595240000,2104630000,2403230000,2904650000,5137410000,2327850000,2128400000,2603700000,2554110000,1548520000
P13645,K1C10_HUMAN,KRT10,"Keratin, type I cytoskeletal 10",19,19,3492330,18505600,5311190,284659000,1166190,21258200,,1191150,,13824300,16859300,5451890,5022290,66264500,938762,1319980,2710670,10010100,,5632770,,2429980,7813400,1951770,7307810,9669240,9246000,,13715100,1180660,,2497500
P13647,K2C5_HUMAN,KRT5,"Keratin, type II cytoskeletal 5",11,11,,8279710,,119884000,,,,,,3701710,4133410,,,,,,,,,,,,,,,1451130,4427810,,3322070,,,
P13671,CO6_HUMAN,C6,Complement component C6,22,22,71580500,72090400,85458700,76089400,85035300,68638700,66484700,56996300,97408700,80723700,71312700,53503200,56256900,79387400,89742400,78778400,90427600,68446100,68314200,65524800,100001000,83828400,81419400,79537300,75068900,62785900,73861000,83581500,88091800,85319700,65710500,54694200
P13796,PLSL_HUMAN,LCP1,Plastin-2,7,7,3818810,3542200,5245890,8395330,4301180,6030250,3142440,2708400,4264040,4176770,4304770,3703830,,2556200,3407230,4281710,5676180,7138280,3266620,3284230,4286420,4525200,5402960,5159630,4084500,3885240,4341530,5584440,4294400,4227980,3264600,3816920
P14151,LYAM1_HUMAN,SELL,L-selectin,5,5,3085580,2766550,1938450,2262830,3495950,2835110,2245090,2183410,4583410,3042360,2792440,2005690,,,2302100,3557460,3666870,3180180,2919580,3185190,4391120,2965230,2910440,2986630,1844990,3369300,2549640,4792940,3297770,2887190,2148580,4177070
P14618,KPYM_HUMAN,PKM,Pyruvate kinase PKM,9,9,,481763,,2921020,145592,372622,355444,189412,,624449,496618,,,,422578,1549770,763529,,308308,885066,,504041,744406,487494,690184,223215,1665900,352742,1596080,297583,304611,
P14625,ENPL_HUMAN,HSP90B1,Endoplasmin,3,3,,379457,,723741,,269696,,,,479644,,,,,272151,473330,266616,,,849061,,302831,118728,475178,457743,,468538,,628105,382561,,
P14735,IDE_HUMAN,IDE,Insulin-degrading enzyme,2,2,116046,,,909812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P14923,PLAK_HUMAN,JUP,Junction plakoglobin,4,4,,,,9237070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15104,GLNA_HUMAN,GLUL,Glutamine synthetase,2,2,,,,1942620,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15144,AMPN_HUMAN,ANPEP,Aminopeptidase N,2,2,349654,,484641,267807,306847,,253024,376790,155214,313424,329609,,,,733363,129044,,,404590,150852,185940,183474,213686,,,154447,231246,129066,219968,228736,,136524
P15151,PVR_HUMAN,PVR,Poliovirus receptor,2,2,468117,,346978,557175,258082,312700,491955,600349,379289,283547,272529,498510,,,302981,749248,,392657,518718,513053,422574,346353,292275,307864,669286,315178,431208,359801,218236,630380,,468428
P15169,CBPN_HUMAN,CPN1,Carboxypeptidase N catalytic chain,6,6,10071300,6764360,10502800,13212700,9361580,9886880,5964880,8209460,7962300,6329200,7624380,4970570,,3806750,11190000,8469930,8709720,11455600,5890370,8129850,9185880,6884170,7482930,8539040,8384570,8771130,10024100,10495600,10835400,8058120,4354320,6001200
P15814,IGLL1_HUMAN,IGLL1,Immunoglobulin lambda-like polypeptide 1,1,1,,254772,,,,,,,,,145097,,,,,,,,,,,,443893,,,,,,,,,
P15924,DESP_HUMAN,DSP,Desmoplakin,19,19,,,,8731180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P16070,CD44_HUMAN,CD44,CD44 antigen,2,2,7370690,6576530,7196040,8193650,2529760,7026430,5904860,10065100,8750760,7559400,7482370,3847520,,,5764960,6141050,7311460,9502560,7100000,10573700,10555200,8221280,7196420,7281990,5700630,9449830,7322870,9315660,7876890,9581840,,5659870
P16109,LYAM3_HUMAN,SELP,P-selectin,1,1,474847,538533,276691,,484367,461456,408358,569051,558187,554922,360050,217714,,,,514918,391923,,298035,364484,596024,555203,217994,522889,445111,700962,261752,801883,458702,451439,377976,633260
P16671,CD36_HUMAN,CD36,Platelet glycoprotein 4,1,1,68534,183755,,,,,,,,266290,137858,,,,,376471,164908,,,,,118406,,110716,104859,,331856,,720818,143568,,
P17066,HSP76_HUMAN,HSPA6,Heat shock 70 kDa protein 6,1,1,,547345,1505210,2613170,,124177,,,,,,,,,579594,,,,,,,,,1478020,,,542190,,,,,
P17174,AATC_HUMAN,GOT1,"Aspartate aminotransferase, cytoplasmic",2,2,,,,859795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17936,IBP3_HUMAN,IGFBP3,Insulin-like growth factor-binding protein 3,5,5,18829200,18112800,15528500,23091800,14554100,19164100,10500300,19293000,31092600,23050900,15923900,23292600,,18216400,14293000,15000000,15256900,21258500,9731280,21430000,16971500,16598300,17569200,8202820,13155700,18777500,20262400,12561300,15939500,16311800,7602130,21375100
P18065,IBP2_HUMAN,IGFBP2,Insulin-like growth factor-binding protein 2,3,3,,,,34004,,,,,,,,,,,,,,,,,,,,39905,,30866,,,,,,
P18206,VINC_HUMAN,VCL,Vinculin,19,19,,2120090,371732,3069510,,1159540,792598,942818,,1965780,1441470,1653370,,,1083230,6168260,2200340,,796940,2685040,,1214750,1736830,1679640,1876760,1003630,5312770,1001120,5288440,1092100,,
P18428,LBP_HUMAN,LBP,Lipopolysaccharide-binding protein,8,8,25235800,16256200,21828300,20764400,31279000,28330100,14876700,32807600,16925100,25345900,16257000,16805100,16313000,9102420,34650000,10825100,42277100,52129200,18157100,19719500,41757400,44802000,29462300,16141300,27197500,25993400,20687000,20199100,8587160,20398900,27585900,19201000
P19320,VCAM1_HUMAN,VCAM1,Vascular cell adhesion protein 1,4,4,155110,156296,123394,213725,209207,86665,,206091,179711,118032,95273,,,,105776,127524,121186,105430,143926,216448,137119,183223,140759,248261,95590,104279,101501,116845,72048,184889,,117695
