Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,CR006_T1,CR008_T1,CR009_T1,CR010_T1,CR015_T1,CR017_T1,CR018_T1,CR022_T1,CR072_T1,CR149_T1,CR163_T1,CR383_T1,CR006_T2,CR008_T2,CR009_T2,CR010_T2,CR015_T2,CR017_T2,CR018_T2,CR022_T2,CR072_T2,CR149_T2,CR163_T2,CR386_T2,PPS02,PPS28,PPS31,PPS32,PPS37,PPS40,PPS41,PPS44
A0A0C4DH25,KVD20_HUMAN,IGKV3D-20,Immunoglobulin kappa variable 3D-20,1,1,363108,3854450,,921214,158383,1305050,504481,750116,64271,,2216620,528936,,,2235680,271359,4990820,1133300,,,1578340,481446,8124340,367282,1062070,,,,298751,,994273,571691
A0A0C4DH31,HV118_HUMAN,IGHV1-18,Immunoglobulin heavy variable 1-18,2,2,,99880,,1164830,,,,,,,,,,,236153,,749223,567374,,,,,1420780,,,,,,241383,,,259087
A0A0C4DH34,HV428_HUMAN,IGHV4-28,Immunoglobulin heavy variable 4-28,1,1,,134116,,53257,,,,,,,,,,,173511,,105550,,,,,,280707,,,,,,,,,
A0A0C4DH35,HV335_HUMAN,IGHV3-35,Probable non-functional immunoglobulin heavy variable 3-35,1,1,429346,4118430,,804242,224004,1105750,444509,668497,124184,333720,1417020,,,,2597320,,4479480,818010,,347840,1402220,772263,4690340,316227,882912,,,194574,126649,,,372556
A0A0C4DH36,HV338_HUMAN,IGHV3-38,Probable non-functional immunoglobulin heavy variable 3-38,2,2,,3645000,,,,,,,,,,492444,,,2003600,,3200510,,,,,,2983110,,,217518,,,,,,
A0A0C4DH38,HV551_HUMAN,IGHV5-51,Immunoglobulin heavy variable 5-51,3,3,,4642060,,1824240,,,630809,553451,,,1266460,,,,4443150,,8133020,,,,2013980,887719,4609680,501019,821363,,,,169120,,,728971
A0A0C4DH43,HV70D_HUMAN,IGHV2-70D,Immunoglobulin heavy variable 2-70D,1,1,,27067700,,5451300,,3843330,5895850,,,,4841220,,,,23759100,,12794500,2147380,2424720,,6130070,1011690,19089300,,3674980,,,,,,3454060,
A0A0C4DH67,KV108_HUMAN,IGKV1-8,Immunoglobulin kappa variable 1-8,1,1,,11876300,,1965080,,,,903482,,,3151950,,,1773250,4647210,,14857000,,,,2755060,,9533790,,,,,,,,3927370,
A0A0C4DH68,KV224_HUMAN,IGKV2-24,Immunoglobulin kappa variable 2-24,2,2,,7805880,,,,,,,,,,,,,764871,,5622610,,,,,,4644290,,,,,,,,,
A0A0C4DH72,KV106_HUMAN,IGKV1-6,Immunoglobulin kappa variable 1-6,1,1,,10192300,,1578120,,1671800,654411,735595,,,1749710,,,,3488600,,6095630,998249,,,2794110,564358,4791250,,613960,,,,,,2196800,
A0A0J9YX35,HV64D_HUMAN,IGHV3-64D,Immunoglobulin heavy variable 3-64D,2,2,,6615260,,,,1079700,,1528430,,,1339430,,,,6166850,,7358360,,,,5299840,,9717780,,902013,,,,,,,
