"uniprot","uniprot_id","protein","gene","description","n_seq","sum_spectra","is_keratin","CR006_T1","CR008_T1","CR009_T1","CR009_T2","CR010_T1","CR010_T2","CR015_T1","CR015_T2","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC","CI.L","CI.R","average_intensity","t","B","P.Value","adj.P.Val","sig.PVal","sig.FDR","Pi.Val","adj.Pi.Val","DE.adj","DE.nom","DE.pi"
"P42702","P42702","LIFR_HUMAN","LIFR","Leukemia inhibitory factor receptor",1,1,FALSE,27.38154634888,29.126035814259,26.673521343942,30.058326183556,28.5035493745919,27.6592023515641,27.1840616618056,29.4762522858354,27.4294229971541,29.2258068910325,28.6700795378144,28.9942309286402,27.0833411715168,25.6965204842942,27.8720158918352,28.1451669484936,28.1927629472727,28.3235882826534,27.7397837061282,28.2857478379601,28.6604409590327,28.8114631129394,1.39014464775667,0.542955472796737,2.2373338227166,28.1451303209637,3.421663069863,-1.69288822759777,0.00268705214311032,0.15025766401226,1,0,1.14431614917452,0.0717271955611803,"NDE","UP","NDE"
"P51451","P51451","BLK_HUMAN","BLK","Tyrosine-protein kinase Blk",1,1,FALSE,18.0861080345383,19.5928048779073,NA,20.1959449002889,20.2545529530374,NA,18.0543620155832,19.6024319524581,18.4383149246543,19.7629189973522,18.305007924156,19.5457781709327,18.372869256463,16.1135051761185,18.2345255171455,18.698254265614,18.1716436999981,18.4649652611267,18.4625844081227,19.842512868111,NA,20.1691577383333,0.941516935354556,0.016220808170455,1.86681306253866,18.8614864706285,2.14577280084324,-3.71509769730359,0.0465273057896515,0.361043050929908,1,0,0.416565703381366,0.383207761421715,"NDE","UP","NDE"
"P62937","P62937","PPIA_HUMAN","PPIA","Peptidyl-prolyl cis-trans isomerase A",4,4,FALSE,21.1941457794315,21.3641403070756,20.1022886014038,21.3806923148492,22.3868059156373,23.2714472719356,20.562393999943,21.6130148050855,20.844789243519,NA,21.5043262522499,20.8032474104757,21.0654320498483,22.1609067356854,20.4727257931735,20.5928556451748,21.5338741098133,21.5933066189704,20.9141958139433,21.1176520507785,21.6447056850023,21.6973459818715,0.642305257814485,0.0677505678346616,1.21685994779431,21.3247758278985,2.33893811702454,-3.42851160509078,0.030351830143847,0.270705512093771,1,0,0.364510097172123,0.432006123532671,"NDE","UP","NDE"
"Q02388","Q02388","CO7A1_HUMAN","COL7A1","Collagen alpha-1(VII) chain",2,2,FALSE,21.3524231059627,23.4829451423935,21.1514069643867,24.462863725814,23.1891163599088,22.0914311006563,21.6138470680321,24.1692466217353,22.2839552525846,23.2216896742757,23.053614768271,24.0392234600677,21.6207183439426,19.68002250624,22.4751214004116,22.237053073766,21.6766154525609,22.5113670855537,22.3804927948451,22.8738075808566,22.9984135346046,24.0689170485489,1.40282499515715,0.432277069788357,2.37337292052595,22.5742860029736,3.01400631724637,-2.3618703602126,0.0068279186339782,0.15025766401226,1,0,1.15475414663826,0.0700238287515942,"NDE","UP","NDE"
"Q0D2K0","Q0D2K0","NIPA4_HUMAN","NIPAL4","Magnesium transporter NIPA4",1,1,FALSE,16.7887437884858,18.6272464699471,17.2906677074612,18.82355937449,18.525990308004,18.0156437661055,NA,17.5203242906664,17.4861574442916,19.7149862323256,18.8457267153294,19.0105724687659,17.7156639360746,NA,17.567515171719,18.8931516468967,18.4377353006305,18.5994137834896,17.8295447401595,18.4744474529505,NA,18.9025798754922,0.99027102278199,0.27968060136376,1.70086144420022,18.2668247617518,2.93880700368392,-2.5856156924127,0.00912959443093542,0.15025766401226,1,0,0.815154829576663,0.153054171361955,"NDE","UP","NDE"
"Q13075","Q13075","BIRC1_HUMAN","NAIP","Baculoviral IAP repeat-containing protein 1",1,1,FALSE,20.9848326293167,25.7823285298405,20.5144500292537,25.4528272622902,23.4021139288192,21.3966750466809,21.3297069961074,25.7433135330897,24.2101959033918,23.6809864041358,22.9537712501902,21.3669752731281,22.9275737835467,20.8605932210097,19.8020149969852,23.9271074085741,20.6522028198818,22.4333442163068,24.4704849948595,26.1404180503508,22.6871646541032,22.4210790413336,2.30664997585562,0.748366575251747,3.86493337645949,22.8700072715089,3.08668919146819,-2.24359191226263,0.00579215373024579,0.15025766401226,1,0,1.89874976113034,0.0126255480444091,"NDE","UP","UP"
"Q66K66","Q66K66","TM198_HUMAN","TMEM198","Transmembrane protein 198",1,1,FALSE,27.5517828509212,29.3829777616496,27.0571158389229,29.9402543235069,28.914095076198,28.0130848432977,27.6619915400647,29.445879068337,27.9306849907855,29.7036358338466,29.0038158815976,29.1627201697172,27.8907701293458,26.5415332015824,28.3001327323203,28.3912220905195,28.0641195457132,28.6411053842976,28.2226046899885,28.9018413464618,28.3669631936834,29.0648399866072,1.27994457657934,0.563540056332238,1.99634909682644,28.461507749062,3.7255508501728,-1.19000916997588,0.00132555025298292,0.15025766401226,1,0,1.05360348751596,0.0883886523834948,"NDE","UP","NDE"
"Q6L9W6","Q6L9W6","B4GN3_HUMAN","B4GALNT3","Beta-1,4-N-acetylgalactosaminyltransferase 3",1,1,FALSE,19.5204319233912,21.4954941426268,19.1698986711782,21.7785432420351,20.8093526880224,19.4576914579333,19.9707208119169,20.4234982107102,20.4022325799133,21.8339948162838,21.3258917676924,21.5927040181161,19.9271421904607,17.9704978128798,20.1145360742188,20.7908488925095,20.5005302130458,20.9276407097328,20.1040861729789,21.2862060124164,17.9673062599669,21.6272403023691,1.02241447845811,0.0991915928692759,1.94563736404694,20.4089313168363,2.3092878880894,-3.46168108676884,0.0316692649993719,0.275022564468229,1,0,0.573197939184339,0.267178840526735,"NDE","UP","NDE"
"Q7Z2W7","Q7Z2W7","TRPM8_HUMAN","TRPM8","Transient receptor potential cation channel subfamily M member 8",1,1,FALSE,21.4216762613705,24.1242061834725,20.7033500302513,24.0202348901182,24.4852009810109,NA,21.8530229197994,NA,22.4302830586138,24.1448581788884,23.0200733060738,23.7708245375009,21.4037887753483,20.5522754019311,22.7347146862511,23.3895168042173,22.5945985956796,23.3263486314282,23.6999106635238,23.9343037112993,NA,25.270941505239,1.77000251143141,0.725046617615415,2.81495840524741,22.993691006422,3.57200671759613,-1.62717408617178,0.00232780591230008,0.15025766401226,1,0,1.45700122730318,0.0349139328819919,"NDE","UP","UP"
"Q7Z6Z7","Q7Z6Z7","HUWE1_HUMAN","HUWE1","E3 ubiquitin-protein ligase HUWE1",1,1,FALSE,22.0560131950022,26.6201261416634,20.9580744791507,26.2515311902272,24.6936487896444,22.0892414315735,22.5293843125611,26.8404843002054,24.8994752871789,24.6003456829024,24.1714397548847,21.9176013667825,23.2757956005721,20.9723881981485,20.5778259419121,24.1432682126119,21.6256059984206,23.6438789885041,24.9192226972828,26.6871093294441,23.670871158498,22.9168556857965,2.26801321880566,0.667938690454046,3.86808774715728,23.6390994428621,2.95571814797795,-2.4562783349725,0.0077856767439265,0.15025766401226,1,0,1.86694539809852,0.0135848423199335,"NDE","UP","UP"
"Q86UK0","Q86UK0","ABCAC_HUMAN","ABCA12","Glucosylceramide transporter ABCA12",1,1,FALSE,18.7907540800495,20.723262459466,19.0655501482196,22.3052859481551,21.6811440658258,21.0024478204928,20.2877203308033,21.3943128925389,20.8402103358,21.9474932093534,21.4759514518781,22.0666026172738,19.7734491820433,18.5542229007082,20.2605073803514,21.0723128357192,20.0569968001052,20.4954649947965,21.0810754533786,21.4376753660298,19.5532913103029,21.7717450299366,1.27181918051222,0.389609616299442,2.154028744725,20.7107943915103,3.00615422195653,-2.37461258638693,0.00694997917168874,0.15025766401226,1,0,1.04691495912933,0.0897604540686314,"NDE","UP","NDE"
"Q8NB25","Q8NB25","F184A_HUMAN","FAM184A","Protein FAM184A",1,1,FALSE,22.93302723732,25.7963755622208,23.0315752370072,27.0357013993691,26.3030918744733,24.2993636579265,23.9458410175485,25.8817054143693,24.258822366428,26.2639597269609,24.7834503663932,25.7846183567683,NA,22.1293489339468,24.6828549523607,25.5938149495137,24.6657390549234,25.4954073044627,24.9851003718679,26.4921665542234,NA,27.1227027038862,1.80248446320362,0.704162202607192,2.90080672380005,25.0742333520985,3.446407530393,-1.73161470802828,0.00285955165634256,0.15025766401226,1,0,1.48373918009797,0.0328292393207671,"NDE","UP","UP"
"Q8NET5","Q8NET5","NFAM1_HUMAN","NFAM1","NFAT activation molecule 1",1,1,FALSE,23.3697195186484,21.5959050134966,21.7659048970951,23.3667550137807,19.7922408905683,22.1590475151485,22.3913860580719,23.3688815995472,21.5332379526979,22.1472608729558,22.4860785272692,22.9064048943136,22.5086421968062,21.267077489038,22.5024599869781,22.2092698686382,22.1270130488652,22.2315675246182,21.4648682679649,21.7660091691443,22.5200652117069,21.975413648821,0.708179239762458,0.0785369351144478,1.33782154441047,22.1570549620988,2.34534609844522,-3.40827891746228,0.0293764474955157,0.269284102042227,1,0,0.403512943136085,0.394899930100428,"NDE","UP","NDE"
"Q92783","Q92783","STAM1_HUMAN","STAM","Signal transducing adapter molecule 1",1,1,FALSE,16.9652171663881,19.038892957056,NA,20.8044477006504,20.86977732766,NA,18.9361667958643,19.3296670564986,16.1553038025955,21.4875845246299,NA,21.7736942259162,18.5276795404431,NA,NA,18.7171306705588,NA,NA,19.5911140192217,21.0543044929707,NA,20.4806374344441,2.29858652160465,0.484555478200273,4.11261756500902,19.552258408207,2.75808687576389,-3.13740632304674,0.0172171880806239,0.195046577512566,1,0,1.63167845735432,0.0233518634604784,"NDE","UP","UP"
"Q9NQX6","Q9NQX6","ZN331_HUMAN","ZNF331","Zinc finger protein 331",1,1,FALSE,29.5645483917009,NA,28.3152248122032,31.9296088346664,30.9460949277101,28.9944977477545,29.4621822186883,31.1587657944854,NA,30.5022637505858,29.7885040142056,31.5273049955886,30.0037244246602,NA,29.651072683322,30.2792493740474,30.0980689097187,30.676856646781,NA,31.0741628073233,29.9696776255192,30.8537945752732,1.31447251602414,0.47028785280075,2.15865717924754,30.266422363013,3.29909373729103,-2.09207895568214,0.00449454354150343,0.15025766401226,1,0,1.08202562241262,0.0827893318399177,"NDE","UP","NDE"
"Q9NYW8","Q9NYW8","RBAK_HUMAN","RBAK","RB-associated KRAB zinc finger protein",1,1,FALSE,20.8116548004913,23.0041311138555,NA,24.2019921774239,23.0215491201592,20.2441778671788,21.7286689460833,22.828413962225,20.981352515786,23.0944350159656,20.6064143601113,23.1835594690924,20.4373792637029,NA,21.2819780492222,22.5995950964968,20.1479639344773,20.8716943556256,21.5660701010418,23.1219010758359,NA,24.0651659972195,1.29332500023905,0.168088797818145,2.41856120265996,21.9893735379997,2.42381975349658,-3.33597986569882,0.026723683825883,0.259376931251217,1,0,0.757977239864752,0.174591364887819,"NDE","UP","NDE"
"Q9UPR0","Q9UPR0","PLCL2_HUMAN","PLCL2","Inactive phospholipase C-like protein 2",1,1,FALSE,18.330074416479,20.6765632357981,17.0963596344427,21.8718731433291,20.9904592870964,17.8832909973812,18.3656858177256,20.929512840415,19.628401704354,21.595097138512,16.5764580869702,21.1938813002171,17.8606186305306,NA,19.1443761368134,19.8068226834394,17.4735840760293,16.7571224864655,19.6874422516185,21.2847115758323,19.5767280630941,20.1862040361234,1.55377122406959,0.0140732103915251,3.09346923774765,19.3769175020318,2.11134961314143,-3.7529825000463,0.0481390734573211,0.361043050929908,1,0,0.6874521089783,0.205375148762193,"NDE","UP","NDE"
