contrast,method_a,method_b,spearman_rho
Training_SURV,vsn_knn,cycloess_RF,0.9824067133488247
Training_SURV,vsn_RF,rlr_RF,0.9928708799693995
Training_SURV,cycloess_knn,rlr_RF,0.9884675789953875
Training_SURV,rlr_knn,rlr_RF,0.9924794516714601
Training_SURV,vsn_knn,rlr_RF,0.9858609512004156
Training_SURV,cycloess_knn,vsn_RF,0.980418632884859
Training_SURV,rlr_knn,vsn_RF,0.9841254883259344
Training_SURV,vsn_knn,vsn_RF,0.991011600357382
Training_SURV,rlr_knn,cycloess_knn,0.9945245556557931
Training_SURV,vsn_knn,cycloess_knn,0.9896785474836195
Training_SURV,vsn_knn,rlr_knn,0.990169022447116
