uniprot_id,gene,n_miss,pct_miss,mean_int,class
Q9HB71,CACYBP,2,5.128205128205128,21.351248941082734,MAR
P60900,PSMA6,0,0,21.32893229298628,Complete
P25311,AZGP1,0,0,20.749091995751666,Complete
P51649,ALDH5A1,0,0,21.211707731971273,Complete
Q92530,PSMF1,0,0,20.901768287512617,Complete
Q9Y3D6,FIS1,0,0,21.29605826168957,Complete
P30101,PDIA3,0,0,21.01476299758798,Complete
P22352,GPX3,0,0,20.93365426826408,Complete
P12111,COL6A3,0,0,20.287729532671584,Complete
P27338,MAOB,0,0,21.289927727655396,Complete
P29401,TKT,0,0,20.1285786756149,Complete
O43678,NDUFA2,0,0,21.19629530037936,Complete
P13798,APEH,0,0,21.204482151486772,Complete
P61586,RHOA,0,0,21.20836428942215,Complete
O15273,TCAP,10,25.64102564102564,21.021950471569845,MNAR
P20231,TPSB2,1,2.564102564102564,20.856168714598184,MAR
P11021,HSPA5,0,0,21.241795004656012,Complete
P21817,RYR1,2,5.128205128205128,21.19201260674305,MAR
O95810,CAVIN2,0,0,20.360267922446468,Complete
Q9BVC6,TMEM109,0,0,21.24677040919436,Complete
O00330,PDHX,0,0,21.072957130097752,Complete
O75874,IDH1,0,0,21.12879392138058,Complete
P39687,ANP32A,1,2.564102564102564,21.152915971771648,MAR
Q9BRX8,PRXL2A,0,0,20.593687186889184,Complete
P27824,CANX,0,0,21.22537457637456,Complete
P26641,EEF1G,0,0,21.269541663841878,Complete
Q9Y5Z4,HEBP2,0,0,21.264085361131563,Complete
P78371,CCT2,0,0,21.17998537137205,Complete
Q15746,MYLK,0,0,21.137285093980264,Complete
P51149,RAB7A,0,0,21.19024847133479,Complete
O60664,PLIN3,0,0,21.227903799876827,Complete
P28838,LAP3,0,0,21.192793536603965,Complete
P23381,WARS1,0,0,21.119084921798898,Complete
P27816,MAP4,0,0,20.98554807873239,Complete
P02655,APOC2,1,2.564102564102564,20.30333838177518,MAR
P24666,ACP1,0,0,21.144609443106532,Complete
P12109,COL6A1,4,10.256410256410255,19.93388297363102,MNAR
Q08043,ACTN3,13,33.33333333333333,20.130281233214117,MNAR
Q13557,CAMK2D,0,0,21.18463019251272,Complete
P11277,SPTB,0,0,20.372957858391366,Complete
P34949,MPI,1,2.564102564102564,21.163029817058696,MAR
Q01484,ANK2,1,2.564102564102564,21.131464204041,MAR
P61026,RAB10,0,0,21.162178563765703,Complete
Q5SSJ5,HP1BP3,8,20.51282051282051,21.117904697346574,MNAR
O14950,MYL12B,0,0,20.991505357892,Complete
Q15185,PTGES3,0,0,21.15497082656231,Complete
P46109,CRKL,0,0,21.151866189446277,Complete
P25788,PSMA3,0,0,21.110307575574456,Complete
O75923,DYSF,1,2.564102564102564,21.10243387369844,MAR
P30046,DDT,0,0,20.980456408941492,Complete
P04899,GNAI2,0,0,20.790539301465074,Complete
Q8IVN3,MUSTN1,2,5.128205128205128,20.737393908487846,MAR
P51970,NDUFA8,2,5.128205128205128,20.994865758568977,MAR
P17987,TCP1,0,0,21.026988714786402,Complete
P20618,PSMB1,0,0,21.095250487651025,Complete
Q15843,NEDD8,0,0,20.549149591762045,Complete
P62249,RPS16,0,0,21.075008353695996,Complete
Q13813,SPTAN1,0,0,20.407514055045326,Complete
Q9NY65,TUBA8,0,0,20.889743714480534,Complete
Q9Y490,TLN1,0,0,20.70211097088099,Complete
Q7Z4W1,DCXR,0,0,20.959866596587734,Complete
P51636,CAV2,8,20.51282051282051,19.828987032525703,MNAR
Q9BTV4,TMEM43,0,0,20.982775564661104,Complete
Q9NPJ3,ACOT13,0,0,20.93344369552146,Complete
P58546,MTPN,0,0,20.911161258281936,Complete
P54819,AK2,0,0,21.025775172038987,Complete
Q92523,CPT1B,4,10.256410256410255,20.9504316167116,MNAR
P36955,SERPINF1,0,0,20.373292803986477,Complete
O43837,IDH3B,0,0,20.993831789436356,Complete
P62851,RPS25,0,0,20.956603773162964,Complete
P07203,GPX1,0,0,20.89995650749081,Complete
P01591,JCHAIN,5,12.82051282051282,19.84174147807132,MNAR
Q13085,ACACA,0,0,20.682027305384945,Complete
P62333,PSMC6,0,0,20.962515905806484,Complete
Q9BXN1,ASPN,3,7.6923076923076925,20.11468325475029,MAR
P07384,CAPN1,0,0,20.984404082779587,Complete
O14521,SDHD,2,5.128205128205128,20.80418584624021,MAR
P14314,PRKCSH,0,0,20.81179823233009,Complete
O75438,NDUFB1,3,7.6923076923076925,20.885918396626735,MNAR
P05386,RPLP1,0,0,20.843140530969794,Complete
P00367,GLUD1,0,0,20.878738211271237,Complete
Q99536,VAT1,0,0,20.455242943938345,Complete
Q15056,EIF4H,0,0,20.963945197071205,Complete
Q8NB12,SMYD1,2,5.128205128205128,20.90579949185042,MAR
O75521,ECI2,1,2.564102564102564,20.825689687725628,MAR
Q13404,UBE2V1,0,0,20.83637503382314,Complete
Q01518,CAP1,0,0,20.597533277308877,Complete
P02753,RBP4,1,2.564102564102564,20.175317112738906,MAR
Q7Z3D6,DGLUCY,3,7.6923076923076925,20.78950319447458,MNAR
